"","Year","MeanDischarge","Q10","Q50","Q90","Q95","MAM7","MeanBaseflow"
"1",1962,19.0869565217391,11,20,23,24.45,10.8571428571429,NA
"2",1963,67.4586301369863,10,20,187.2,252.4,7.18571428571429,32.7750029941408
"3",1964,82.8844262295082,16,37,234.5,281,10.2428571428571,53.4661082629498
"4",1965,273.702191780822,9.8,62,696,1378,5.68571428571429,94.2926477670495
"5",1966,220.429589041096,12,100,579.8,781.2,8.47142857142857,127.324353684527
"6",1967,349.947945205479,31,140,1060,1744,16.2857142857143,135.992288230361
"7",1968,187.491803278689,45,126.5,435.5,571.5,38.5714285714286,93.1802686210211
"8",1969,239.164383561644,29.4,166,534,647.2,19.8571428571429,178.612302634103
"9",1970,205.115068493151,31.4,148,453.6,585.2,20.5714285714286,144.237478070175
"10",1971,225.604109589041,15,61,697.4,1134,9.7,136.719078060448
"11",1972,330.215846994536,81,191,652,1060,48.4285714285714,213.279609941223
"12",1973,390.317808219178,31,229,1086,1300,22,259.899801316088
"13",1974,372.046575342466,34.4,176,1010,1486,25.1428571428571,170.379797579034
"14",1975,452.652054794521,107,261,1070,1442,28.4285714285714,218.388153462825
"15",1976,419.142076502732,30.5,155,1360,1905,21.8571428571429,271.954704067342
"16",1977,106.804931506849,13,55,303.6,391.8,5.62857142857143,66.9553389208992
"17",1978,198.327671232877,15,52,345.6,1200,8.87142857142857,48.2711149498131
"18",1979,195.958082191781,15.4,50,630.4,948,5.55714285714286,108.009544884159
"19",1980,250.672131147541,48,190,492,783.5,31,124.113193682202
"20",1981,393.391780821918,36.8,187,939.200000000001,1688,15.8571428571429,98.6485127201566
"21",1982,298.356164383562,40,99,839.200000000001,1138,26.5714285714286,158.528030947896
"22",1983,358.191780821918,26,213,806.400000000001,1458,15.1428571428571,234.371919993009
"23",1984,226.901639344262,21.5,97,655,854.25,15.4285714285714,85.7302702775099
"24",1985,563.27397260274,35,236,1502,2378,27.2857142857143,255.86370330276
"25",1986,542.093150684932,49.8,253,1358,2630,27.2857142857143,202.09797346586
"26",1987,177.06301369863,30.4,100,422,527,15,113.18992567478
"27",1988,231.828415300546,18,144,538.5,763.5,9.17142857142857,128.210634300375
"28",1989,302.487671232877,57,155,684.4,959,45.2857142857143,149.36029228156
"29",1990,423.904109589041,44,336,933.2,1302,28.1428571428571,221.274388321964
"30",1991,356.934246575342,33.4,242,875.6,1140,21.5714285714286,233.008105504417
"31",1992,375.614754098361,63,304.5,770,932,38.4285714285714,249.288160265106
"32",1993,440.506849315069,75.4,247,1052,1594,49.2857142857143,209.805848925742
"33",1994,508.238356164384,88,358,998,1592,52.4285714285714,259.714373686324
"34",1995,232.512328767123,32,183,469.4,687.2,21.4285714285714,141.029403517644
"35",1996,299.631147540984,49.5,186,458.5,807.75,33.7142857142857,141.086831853635
"36",1997,321.424657534247,37,120,578.4,954.400000000001,30.2857142857143,158.986627271913
"37",1998,261.964109589041,16,56,754.2,1082,8.3,153.818625522565
"38",1999,148.582739726027,13,44,288.2,544.8,9.38571428571428,68.6825148187549
"39",2000,215.286885245902,33,96.5,455.5,679.5,17.4285714285714,84.1999970046432
"40",2001,360.132054794521,31.52,246,842,1174,19.8571428571429,220.250987468245
"41",2002,226.756438356164,20.98,65.1,579.8,845.000000000001,13.5142857142857,146.874337874454
"42",2003,96.0403835616438,11.3,35.9,270.2,310.8,4.07428571428571,60.3755619183022
"43",2004,343.307103825137,47.55,130.5,862,1667.5,29.1285714285714,175.114800605978
"44",2005,216.185479452055,20.3,85.9,605.2,865,15.9,108.237262888387
"45",2006,418.527945205479,68.96,349,866.4,1076,37.4285714285714,240.723839952165
"46",2007,269.730136986301,29.24,116,817,1008,18.5857142857143,184.796785952145
"47",2008,329.190710382514,34.75,163,892,1090,22.1428571428571,205.562638618212
"48",2009,433.709863013699,69.4,280,951,1514,39.8,221.375414152058
"49",2010,201.342191780822,20.74,93,498,820.2,17.3857142857143,102.553894007004
"50",2011,394.892328767123,44.54,235,1086,1266,23.1714285714286,268.304709803069
"51",2012,222.37650273224,24.15,167.5,488,634,17.6714285714286,141.560899387765
"52",2013,452.252328767123,32.52,179,877,1660,22.6428571428571,153.659445479112
"53",2014,373.775890410959,66,185,1046,1358,39.3857142857143,211.326830419181
"54",2015,201.131232876712,46.38,142,432.6,563,34.8142857142857,118.871626534106
"55",2016,352.983606557377,34.75,261.5,796,1030,23.1714285714286,217.757765621614
"56",2017,392.204383561644,22.04,252,898.6,1096,17.2571428571429,220.692119897957
"57",2018,320.778082191781,51.12,247,513.2,781.2,23.2857142857143,159.208484018265
"58",2019,509.592054794521,59.48,426,1022,1298,32.6428571428571,292.749368201776
"59",2020,384.432240437158,94.85,222,883.5,1247.5,52.9428571428571,227.372277307122
"60",2021,253.754578754579,84.02,147,496,750.4,57.6142857142857,NA
